date,sentimentScore,niftyIndexChange,niftyIndex
2019-07-16,-0.11663610108303261,=C255-C256,11662.6
2019-07-15,-0.14422950191570877,=C256-C257,11588.35
2019-07-12,-0.16851599999999994,=C257-C258,11552.5
2019-07-11,-0.14635687022900756,=C258-C259,11582.9
2019-07-10,-0.13066594202898557,=C259-C260,11498.9
2019-07-09,-0.114378892733564,=C260-C261,11555.9
2019-07-08,-0.13097865168539322,=C261-C262,11558.6
2019-07-05,-0.10992589928057556,=C262-C263,11811.15
2019-07-04,-0.1654522491349482,=C263-C264,11946.75
2019-07-03,-0.13829185185185183,=C264-C265,11916.75
2019-07-02,-0.16000228136882128,=C265-C266,11910.3
2019-07-01,-0.16284858299595148,=C266-C267,11865.6
2019-06-28,-0.1217847826086957,=C267-C268,11788.85
2019-06-27,-0.1365126353790614,=C268-C269,11841.55
2019-06-26,-0.20599776951672844,=C269-C270,11847.55
2019-06-25,-0.17640067796610162,=C270-C271,11796.45
2019-06-24,-0.18667657342657323,=C271-C272,11699.65
2019-06-21,-0.15699438202247182,=C272-C273,11724.1
2019-06-20,-0.14211879432624125,=C273-C274,11831.75
2019-06-19,-0.0915222950819672,=C274-C275,11691.45
2019-06-18,-0.13900671378091875,=C275-C276,11691.5
2019-06-17,-0.09837934782608698,=C276-C277,11672.15
2019-06-14,-0.1699358620689657,=C277-C278,11823.3
2019-06-13,-0.08352482517482517,=C278-C279,11914.05
2019-06-12,-0.2714810344827586,=C279-C280,11906.2
2019-06-11,-0.14401737588652486,=C280-C281,11965.6
2019-06-10,-0.09815206896551719,=C281-C282,11922.7
2019-06-07,-0.1422937269372695,=C282-C283,11870.65
2019-06-06,-0.1187790780141844,=C283-C284,11843.75
2019-06-04,-0.1945115671641792,=C284-C285,12021.65
2019-06-03,-0.17426583629893255,=C285-C286,12088.55
2019-05-31,-0.1665477777777778,=C286-C287,11922.8
2019-05-30,-0.16992891986062728,=C287-C288,11945.9
2019-05-29,-0.208918320610687,=C288-C289,11861.1
2019-05-28,-0.14645923344947734,=C289-C290,11928.75
2019-05-27,-0.11599122807017542,=C290-C291,11924.75
2019-05-24,-0.11261124497991973,=C291-C292,11844.1
2019-05-23,-0.20021134020618558,=C292-C293,11657.05
2019-05-22,-0.1019341911764706,=C293-C294,11737.9
2019-05-21,-0.07855899280575532,=C294-C295,11709.1
2019-05-20,-0.11873558718861217,=C295-C296,11828.25
2019-05-17,-0.1599187050359711,=C296-C297,11407.15
2019-05-16,-0.16793406593406587,=C297-C298,11257.1
2019-05-15,-0.18046970802919718,=C298-C299,11157.0
2019-05-14,-0.13628932384341644,=C299-C300,11222.05
2019-05-13,-0.10606940298507458,=C300-C301,11148.2
2019-05-10,-0.15563529411764715,=C301-C302,11278.9
2019-05-09,-0.10962385964912277,=C302-C303,11301.8
2019-05-08,-0.10418036363636365,=C303-C304,11359.45
2019-05-07,-0.15690106382978694,=C304-C305,11497.9
2019-05-06,-0.13130769230769224,=C305-C306,11598.25
2019-05-03,-0.20581141868512112,=C306-C307,11712.25
2019-05-02,-0.13841506849315072,=C307-C308,11724.75
2019-04-30,-0.14250655172413795,=C308-C309,11748.15
2019-04-26,-0.17600410447761178,=C309-C310,11754.65
2019-04-25,-0.11526188679245293,=C310-C311,11641.8
2019-04-24,-0.11247251908396942,=C311-C312,11726.15
2019-04-23,-0.12674862068965517,=C312-C313,11575.95
2019-04-22,-0.19110217391304352,=C313-C314,11594.45
2019-04-18,-0.18117,=C314-C315,11752.8
2019-04-16,-0.0918911764705882,=C315-C316,11787.15
2019-04-15,-0.1438282868525896,=C316-C317,11690.35
2019-04-12,-0.15720075757575755,=C317-C318,11643.45
2019-04-11,-0.15852454873646207,=C318-C319,11596.7
2019-04-10,-0.0884681481481481,=C319-C320,11584.3
2019-04-09,-0.18374401544401536,=C320-C321,11671.95
2019-04-08,-0.10354402985074626,=C321-C322,11604.5
2019-04-05,-0.12125955882352933,=C322-C323,11665.95
2019-04-04,-0.137213074204947,=C323-C324,11598.0
2019-04-03,-0.17604824902723748,=C324-C325,11643.95
2019-04-02,-0.1486411371237458,=C325-C326,11713.2
2019-04-01,-0.14058175438596487,=C326-C327,11669.15
2019-03-29,-0.15185431654676265,=C327-C328,11623.9
